Rigid Short Tight;Rigid Short Large;Rigid Long Tight;Rigid Long Large;Intermediate Short Tight;Intermediate Short Large;Intermediate Long Tight;Intermediate Long Large;Deformable Short Tight;Deformable Short Large;Deformable Long Tight;Deformable Long Large
0.577855370261452;0.680465091358532;0.53893514474233;0.48307542367415;0.561697959899902;0.601589302221934;0.718222011219371;0.573193430900574;0.480083346366882;0.643941839536031;0.520293156305949;0.474454283714294
0.593097945054372;0.557781089435924;0.559893031915029;0.527239474383267;0.552704811096191;0.510716915130615;0.552963820370761;0.599101283333518;0.493426303068797;0.497186779975891;0.530900955200195;0.504920092496005
0.544008666818792;0.53794652223587;0.510446916926991;0.499206261201338;0.546642065048218;0.598280234770341;0.547963837782542;0.539148191610972;0.545032441616058;0.566133519013723;0.506444295247396;0.444940480318936
0.434989170594649;0.412141691554676;0.428096207705411;0.397528951818293;0.457772731781006;0.401627937952677;0.498697606000033;0.42352032661438;0.439055421135642;0.384397387504578;0.391168177127838;0.386566032062877
0.577848593393962;0.671700020631154;0.578178703784943;0.55389948685964;0.564901503649625;0.580112556616465;0.551987866560618;0.524214605490367;0.596629778544108;0.544891379096291;0.540746092796326;0.580964868718928
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.551963090896606;0.521598358949026;0.506286165931008;0.505248026414351;0.499525135213679;0.511269721117887;0.481055696805318;0.477506180604299;0.493515769640605;0.474118371804555;0.511800896037709;0.472283558412032
0.422646219080145;0.437865864146839;0.429807841777802;0.431706623597579;0.453343073527018;0.386447949842973;0.384701533751054;0.433371384938558;0.476801612160423;0.41465946038564;0.403940538565318;0.394487684423273
0.533638694069602;0.564679602781932;0.556252913041548;0.511781553427378;0.529126683870951;0.644608844410289;0.642307380835215;0.546557625134786;0.571364720662435;0.548821904442527;0.535935481389364;0.47846653064092
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.637571139769121;0.62045156955719;0.670889298121134;0.679299890995026;0.586230538108132;0.571848511695862;0.569074412186941;0.573714137077332;0.613247177817605;0.554111112247814;0.579954775896939;0.570341547330221
0.582230965296427;0.488967483693903;0.485340942036022;0.494367642836137;0.600089940157804;0.53825322786967;0.500329126011242;0.496765693028768;0.569488286972046;0.590364889665083;0.541299624876542;0.569517413775126
0.457077582677205;0.48421124978499;0.467513864690607;0.411142945289612;0.42737219731013;0.393665293852488;0.400807758172353;0.439685463905334;0.438657110387629;0.413588066895803;0.424370353872126;0.436275005340576
0.607921361923218;0.528819143772125;0.483310417695479;0.501693508841775;0.576183037324385;0.534565965334574;0.59526922305425;0.52971088886261;0.563825542276556;0.549445087259466;0.57715646425883;0.520853822881525
0.527510274540294;0.503594962033359;0.510521133740743;0.510440479625355;0.496838589509328;0.496720135211945;0.462443689505259;0.506428956985474;0.500762144724528;0.458882292111715;0.474195241928101;0.473686238129934
0.5597421689467;0.538159218701449;0.604589462280273;0.54339724779129;0.547014097372691;0.525894771922718;0.50331856807073;0.563997507095337;0.627968152364095;0.496774474779765;0.578474342823029;0.596213817596436
0.555864875966852;0.56962259610494;0.536520372737538;0.562771298668601;0.487583589553833;0.533513697710904;0.541440824667613;0.483539256182584;0.538303873755715;0.513048778880726;0.532290796438853;0.569226329976862
0.54554545879364;0.555445931174538;0.605981089852073;0.708312471707662;0.668522314591841;0.523071093992753;0.525948365529378;0.580362399419149;0.559640427430471;0.551818907260895;0.585886816183726;0.500412832606922
0.465606234290383;0.469556266611273;0.450559529391202;0.427731911341349;0.516714056332906;0.468773504098256;0.46067324551669;0.461417138576508;0.444948413155296;0.476412903178822;0.441378224979747;0.455097328532826
