Rigid Short Tight;Rigid Short Large;Rigid Long Tight;Rigid Long Large;Intermediate Short Tight;Intermediate Short Large;Intermediate Long Tight;Intermediate Long Large;Deformable Short Tight;Deformable Short Large;Deformable Long Tight;Deformable Long Large
15;14.5;15.7708333333333;20.2045454545455;12.3541666666667;11;12.0909090909091;15.1136363636364;5.47727272727273;5.72727272727273;7.66666666666667;8.5625
15.6875;15.6041666666667;15.6458333333333;16.3541666666667;11.1818181818182;8.72727272727273;9.91666666666667;15.6363636363636;5.36363636363636;4.58333333333333;5.875;6.47916666666667
8.10416666666667;9.4375;15.925;21.1590909090909;5.36363636363636;12.6041666666667;5.54545454545455;9.89583333333333;6.31818181818182;6.11363636363636;5.86363636363636;8.58333333333333
7.72916666666667;27;28.8333333333333;27.7727272727273;12.5416666666667;12.2708333333333;14.3958333333333;15.8541666666667;2.79166666666667;3.95833333333333;5.27083333333333;5.91666666666667
5.18181818181818;13.8125;9.5;12.0208333333333;5.75;4.95833333333333;6.39583333333333;9.22727272727273;4.29545454545455;5.1875;6.58333333333333;7.97916666666667
16.1818181818182;15.075;14.8181818181818;17.9772727272727;4.16666666666667;5.47916666666667;5.18181818181818;10.6875;4.10416666666667;4.58333333333333;5.20454545454545;5.64583333333333
12.4772727272727;12.6875;17.4090909090909;18.1458333333333;9.22916666666667;5.64583333333333;8.90909090909091;16.2291666666667;4.33333333333333;4.79545454545455;7.58333333333333;6.83333333333333
13.7272727272727;13.5;14.1875;21.1458333333333;7.27083333333333;8.02083333333333;8.95454545454546;10.75;6.02272727272727;3.52083333333333;6.5;5.84090909090909
18.6666666666667;13.8958333333333;17.2708333333333;22.0909090909091;8.65909090909091;6.47727272727273;7.9375;14.8181818181818;5.45454545454545;5.77272727272727;7.93181818181818;10.5227272727273
9.91666666666667;12.8333333333333;14.8333333333333;15.2727272727273;6.97916666666667;10.0833333333333;11.25;10.3863636363636;4.11363636363636;5.27272727272727;5.20833333333333;5.52272727272727
15;15.6590909090909;15.9090909090909;18.4772727272727;5.875;5.65909090909091;7.38636363636364;8.97916666666667;5;5.375;6.90909090909091;7.5625
14.4375;11.2708333333333;11.5;16.0208333333333;6.20833333333333;14.4772727272727;8.10416666666667;14.3125;6.47916666666667;6.08333333333333;9.125;10.7045454545455
16;15.6041666666667;17.125;28.5625;5.70454545454545;5.79166666666667;5.54545454545455;17.9791666666667;3.4375;4.25;4.83333333333333;8.14583333333333
15.6590909090909;14.2916666666667;27.7954545454545;27.8125;8.35416666666667;13.7954545454545;14.5416666666667;17.3125;6.29166666666667;8.1875;7.4375;9.13636363636364
12.9166666666667;11.3958333333333;14.9090909090909;19.7291666666667;5.81818181818182;5.79545454545455;6.56818181818182;10.9375;5.41666666666667;4.79166666666667;6.75;7.64583333333333
14.9772727272727;15.2954545454545;17.9583333333333;18.3333333333333;4.95833333333333;5.72727272727273;8.09090909090909;11.6666666666667;6.875;4.25;6.79545454545455;9.90909090909091
14.8958333333333;15.5833333333333;14.7727272727273;17.1666666666667;11.6590909090909;13.6041666666667;11.9318181818182;16.0208333333333;6.40909090909091;4.06818181818182;9.27083333333333;10.3409090909091
16.1590909090909;17.9375;20.3541666666667;20.5454545454545;7.54166666666667;8.6875;6.97727272727273;15.5;5.25;6.54166666666667;6.81818181818182;8.41666666666667
14.6458333333333;17.5416666666667;16.2727272727273;21.75;10.6590909090909;13;10.3863636363636;16.1818181818182;6.70454545454545;10.4318181818182;8.09090909090909;10.5454545454545
