Rigid Short Tight;Rigid Short Large;Rigid Long Tight;Rigid Long Large;Intermediate Short Tight;Intermediate Short Large;Intermediate Long Tight;Intermediate Long Large;Deformable Short Tight;Deformable Short Large;Deformable Long Tight;Deformable Long Large
0.599047058915385;0.645156918957489;0.574067182278989;0.541487794949862;0.584546464948827;0.592472422209058;0.680236690642649;0.606126531130176;0.550517727546053;0.591131970442124;0.585174313837895;0.540784752876406
0.589643784081992;0.574882239117854;0.568063800967387;0.576699442490071;0.580689305174219;0.542826729310686;0.581323292071533;0.588687456600379;0.543480656513521;0.529643461273849;0.551580262043933;0.525935288640295
0.562973334467845;0.570110342849816;0.579712174894701;0.551101256831674;0.535433707791367;0.583830561971911;0.529840200833909;0.553654725432435;0.570535144164696;0.577790056775278;0.552814656262085;0.507811404512746
0.565705979395643;0.516745804500483;0.548275498766686;0.552210759031804;0.570423633557534;0.520548510586888;0.583613248202144;0.534326270606525;0.55482839199535;0.524795667660005;0.538378187880039;0.514000802612457
0.623404994535863;0.65003589657464;0.635256674907416;0.637851177327244;0.615867504794782;0.619168550560158;0.637740944473661;0.588724269889964;0.650823742073172;0.604234769392804;0.626646359755031;0.6483536979447
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.613926175103667;0.605391717717492;0.60138673848026;0.596740270872267;0.593916609445705;0.608647339164188;0.577395949287006;0.594656737548652;0.591998496639455;0.576319357149548;0.600944120286417;0.565433232674787
0.599237113976172;0.606075163531606;0.563198001150588;0.583535549447601;0.560281369334043;0.551618952217607;0.545270520474745;0.574329270946941;0.608830285343289;0.546848129276323;0.550099034651243;0.547460134529838
0.596451253109916;0.572356722000104;0.592727374250756;0.561424596947371;0.606803924263143;0.592554396533516;0.612709362085003;0.588540822122262;0.597582685426573;0.587831599728776;0.579238006908294;0.552147360862562
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.63375548729728;0.628765217845481;0.610149119218305;0.658509245032374;0.620379996836697;0.647708845369538;0.613886078815188;0.616242135581169;0.63344842960454;0.626201614946782;0.58141674926353;0.626072458100958
0.582547423575482;0.558108416431611;0.56247911276367;0.546288796084824;0.60157492560208;0.514301411871996;0.54628461178309;0.547643554984769;0.587385007044417;0.59565534012983;0.576155510928991;0.469096810174841
0.586877272414452;0.581575049601204;0.578715680815492;0.531213192651445;0.518943294046989;0.504924007438268;0.505216124726139;0.5448611317774;0.542437623536443;0.508553942575997;0.528082873178923;0.52885643485562
0.574473652367898;0.5788745215555;0.517349687029311;0.523990218464885;0.576517217025402;0.541295992553957;0.582311271266124;0.520815354233102;0.536909560620726;0.572999136725676;0.531509343042512;0.549743225993075
0.595601126346636;0.601304633084528;0.603511416422887;0.611125434940239;0.603646785816093;0.603415731319143;0.595890947644689;0.613589300792818;0.605821861049072;0.595857328990892;0.586806421850118;0.607065823429009
0.625927637028708;0.618207133058132;0.633156030439082;0.601919999524385;0.609618824529997;0.605449768862903;0.588843785131884;0.602282653547716;0.62492619418998;0.573744303732514;0.623086603121964;0.592643743329605
0.602499599236976;0.602933435668215;0.603846455325744;0.59313684418431;0.550005539791768;0.588360349919475;0.562739137217537;0.567902158208194;0.577206989173837;0.563670782394117;0.551948449283997;0.57066590677338
0.553565103461612;0.586626102692307;0.617251225699452;0.648179797970599;0.617019669018602;0.580888726405619;0.537873618125403;0.612661179224035;0.57336965288724;0.573692716836806;0.587949259789567;0.530990857597228
0.575280103074303;0.591630510214359;0.574057176176168;0.53668335157748;0.614510255335059;0.570005639270302;0.537829078826131;0.553312699517781;0.562485151924385;0.569922531165894;0.552605835497157;0.553763683827815
